No.     Time           Source                Destination           Protocol Length Info
     32 29.948417000   10.0.1.12             10.0.1.11             TELNET   83     Telnet Data ...
     33 29.948445000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=186 Ack=192 Win=29312 Len=0 TSval=1148718 TSecr=6721353
     34 30.846248000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     35 30.846837000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     36 30.846852000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=187 Ack=194 Win=29312 Len=0 TSval=1148942 TSecr=6721578
     37 30.974237000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     38 30.974824000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     39 30.974846000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=188 Ack=196 Win=29312 Len=0 TSval=1148974 TSecr=6721610
     40 31.102272000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     41 31.102867000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     42 31.102888000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=189 Ack=198 Win=29312 Len=0 TSval=1149006 TSecr=6721642
     43 31.214171000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     44 31.214764000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     45 31.214783000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=190 Ack=200 Win=29312 Len=0 TSval=1149034 TSecr=6721670
     46 31.358178000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     47 31.358764000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     48 31.358783000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=191 Ack=202 Win=29312 Len=0 TSval=1149070 TSecr=6721706
     49 31.438170000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     50 31.438782000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     51 31.438801000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=192 Ack=204 Win=29312 Len=0 TSval=1149090 TSecr=6721726
     52 31.542172000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     53 31.542818000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     54 31.542837000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=193 Ack=206 Win=29312 Len=0 TSval=1149116 TSecr=6721752
     55 31.854328000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     56 31.854982000   10.0.1.12             10.0.1.11             TELNET   69     Telnet Data ...
     57 31.855008000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=194 Ack=209 Win=29312 Len=0 TSval=1149194 TSecr=6721830
     58 31.855935000   10.0.1.12             10.0.1.11             TELNET   67     Telnet Data ...
     59 31.855953000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=194 Ack=210 Win=29312 Len=0 TSval=1149194 TSecr=6721830
     60 31.856456000   10.0.1.12             10.0.1.11             TELNET   77     Telnet Data ...
     61 31.856474000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=194 Ack=221 Win=29312 Len=0 TSval=1149195 TSecr=6721830
     62 33.038384000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     63 33.078732000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=221 Ack=195 Win=29056 Len=0 TSval=6722136 TSecr=1149490
     64 33.142335000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     65 33.142835000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=221 Ack=196 Win=29056 Len=0 TSval=6722152 TSecr=1149516
     66 33.238259000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     67 33.238762000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=221 Ack=197 Win=29056 Len=0 TSval=6722176 TSecr=1149540
     68 33.398244000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     69 33.398757000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=221 Ack=198 Win=29056 Len=0 TSval=6722216 TSecr=1149580
     70 33.518231000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     71 33.518742000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=221 Ack=199 Win=29056 Len=0 TSval=6722245 TSecr=1149610
     72 33.582234000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     73 33.582724000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=221 Ack=200 Win=29056 Len=0 TSval=6722261 TSecr=1149626
     74 33.670156000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     75 33.670675000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=221 Ack=201 Win=29056 Len=0 TSval=6722283 TSecr=1149648
     76 33.814112000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     77 33.814608000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=221 Ack=202 Win=29056 Len=0 TSval=6722319 TSecr=1149684
     78 33.814921000   10.0.1.12             10.0.1.11             TELNET   69     Telnet Data ...
     79 33.814934000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=202 Ack=224 Win=29312 Len=0 TSval=1149684 TSecr=6722320
     80 33.835031000   10.0.1.12             10.0.1.11             TELNET   134    Telnet Data ...
     81 33.835044000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=202 Ack=292 Win=29312 Len=0 TSval=1149689 TSecr=6722325
     82 33.835472000   10.0.1.12             10.0.1.11             TELNET   187    Telnet Data ...
     83 33.835477000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=202 Ack=413 Win=29312 Len=0 TSval=1149689 TSecr=6722325
     84 33.965001000   10.0.1.12             10.0.1.11             TELNET   109    Telnet Data ...
     85 33.965022000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=202 Ack=456 Win=29312 Len=0 TSval=1149722 TSecr=6722357
     86 35.798486000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     87 35.799191000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     88 35.799217000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=203 Ack=458 Win=29312 Len=0 TSval=1150180 TSecr=6722816
     89 35.982289000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     90 35.983058000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     91 35.983078000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=204 Ack=460 Win=29312 Len=0 TSval=1150226 TSecr=6722862
     92 36.086351000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     93 36.087084000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     94 36.087106000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=205 Ack=462 Win=29312 Len=0 TSval=1150252 TSecr=6722888
     95 36.206218000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     96 36.206958000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     97 36.206978000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=206 Ack=464 Win=29312 Len=0 TSval=1150282 TSecr=6722918
     98 36.382158000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     99 36.382892000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    100 36.382910000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=207 Ack=466 Win=29312 Len=0 TSval=1150326 TSecr=6722962
    101 36.550142000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    102 36.550893000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    103 36.550911000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=208 Ack=468 Win=29312 Len=0 TSval=1150368 TSecr=6723004
    104 39.870367000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    105 39.871128000   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    106 39.871153000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=209 Ack=473 Win=29312 Len=0 TSval=1151198 TSecr=6723834
    107 40.022281000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    108 40.023050000   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    109 40.023072000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=210 Ack=478 Win=29312 Len=0 TSval=1151236 TSecr=6723872
    110 40.150305000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    111 40.151028000   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    112 40.151053000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=211 Ack=483 Win=29312 Len=0 TSval=1151268 TSecr=6723904
    113 40.254316000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    114 40.255060000   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    115 40.255084000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=212 Ack=488 Win=29312 Len=0 TSval=1151294 TSecr=6723930
    116 40.366262000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    117 40.366973000   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    118 40.366995000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=213 Ack=493 Win=29312 Len=0 TSval=1151322 TSecr=6723958
    119 40.470251000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    120 40.470980000   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    121 40.471003000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=214 Ack=498 Win=29312 Len=0 TSval=1151348 TSecr=6723984
    122 40.590249000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    123 40.590931000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    124 40.590953000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=215 Ack=500 Win=29312 Len=0 TSval=1151378 TSecr=6724014
    125 40.774179000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    126 40.774910000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    127 40.774928000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=216 Ack=502 Win=29312 Len=0 TSval=1151424 TSecr=6724060
    128 40.814136000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    129 40.814869000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    130 40.814909000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=217 Ack=504 Win=29312 Len=0 TSval=1151434 TSecr=6724070
    131 41.582452000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    132 41.583172000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    133 41.583199000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=218 Ack=506 Win=29312 Len=0 TSval=1151626 TSecr=6724262
    134 41.694286000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    135 41.695007000   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    136 41.695027000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=219 Ack=508 Win=29312 Len=0 TSval=1151654 TSecr=6724290
    137 41.782356000   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    138 41.783045000   10.0.1.12             10.0.1.11             TELNET   69     Telnet Data ...
    139 41.783068000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=220 Ack=511 Win=29312 Len=0 TSval=1151676 TSecr=6724312
    140 41.783564000   10.0.1.12             10.0.1.11             TELNET   75     Telnet Data ...
    141 41.783582000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=220 Ack=520 Win=29312 Len=0 TSval=1151676 TSecr=6724312
    142 41.790254000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [FIN, ACK] Seq=520 Ack=220 Win=29056 Len=0 TSval=6724313 TSecr=1151676
    143 41.790328000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [FIN, ACK] Seq=220 Ack=521 Win=29312 Len=0 TSval=1151678 TSecr=6724313
    144 41.790806000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=521 Ack=221 Win=29056 Len=0 TSval=6724314 TSecr=1151678
