No.     Time        Source                Destination           Protocol Length Info
     33 29.948445   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=186 Ack=192 Win=29312 Len=0 TSval=1148718 TSecr=6721353
     34 30.846248   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     35 30.846837   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     36 30.846852   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=187 Ack=194 Win=29312 Len=0 TSval=1148942 TSecr=6721578
     37 30.974237   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     38 30.974824   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     39 30.974846   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=188 Ack=196 Win=29312 Len=0 TSval=1148974 TSecr=6721610
     40 31.102272   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     41 31.102867   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     42 31.102888   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=189 Ack=198 Win=29312 Len=0 TSval=1149006 TSecr=6721642
     43 31.214171   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     44 31.214764   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     45 31.214783   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=190 Ack=200 Win=29312 Len=0 TSval=1149034 TSecr=6721670
     46 31.358178   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     47 31.358764   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     48 31.358783   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=191 Ack=202 Win=29312 Len=0 TSval=1149070 TSecr=6721706
     49 31.438170   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     50 31.438782   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     51 31.438801   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=192 Ack=204 Win=29312 Len=0 TSval=1149090 TSecr=6721726
     52 31.542172   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     53 31.542818   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     54 31.542837   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=193 Ack=206 Win=29312 Len=0 TSval=1149116 TSecr=6721752
     55 31.854328   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     56 31.854982   10.0.1.12             10.0.1.11             TELNET   69     Telnet Data ...
     57 31.855008   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=194 Ack=209 Win=29312 Len=0 TSval=1149194 TSecr=6721830
     58 31.855935   10.0.1.12             10.0.1.11             TELNET   67     Telnet Data ...
     59 31.855953   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=194 Ack=210 Win=29312 Len=0 TSval=1149194 TSecr=6721830
     60 31.856456   10.0.1.12             10.0.1.11             TELNET   77     Telnet Data ...
     61 31.856474   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=194 Ack=221 Win=29312 Len=0 TSval=1149195 TSecr=6721830
     62 33.038384   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     63 33.078732   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [ACK] Seq=221 Ack=195 Win=29056 Len=0 TSval=6722136 TSecr=1149490
     64 33.142335   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     65 33.142835   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [ACK] Seq=221 Ack=196 Win=29056 Len=0 TSval=6722152 TSecr=1149516
     66 33.238259   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     67 33.238762   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [ACK] Seq=221 Ack=197 Win=29056 Len=0 TSval=6722176 TSecr=1149540
     68 33.398244   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     69 33.398757   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [ACK] Seq=221 Ack=198 Win=29056 Len=0 TSval=6722216 TSecr=1149580
     70 33.518231   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     71 33.518742   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [ACK] Seq=221 Ack=199 Win=29056 Len=0 TSval=6722245 TSecr=1149610
     72 33.582234   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     73 33.582724   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [ACK] Seq=221 Ack=200 Win=29056 Len=0 TSval=6722261 TSecr=1149626
     74 33.670156   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     75 33.670675   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [ACK] Seq=221 Ack=201 Win=29056 Len=0 TSval=6722283 TSecr=1149648
     76 33.814112   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     77 33.814608   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [ACK] Seq=221 Ack=202 Win=29056 Len=0 TSval=6722319 TSecr=1149684
     78 33.814921   10.0.1.12             10.0.1.11             TELNET   69     Telnet Data ...
     79 33.814934   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=202 Ack=224 Win=29312 Len=0 TSval=1149684 TSecr=6722320
     80 33.835031   10.0.1.12             10.0.1.11             TELNET   134    Telnet Data ...
     81 33.835044   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=202 Ack=292 Win=29312 Len=0 TSval=1149689 TSecr=6722325
     82 33.835472   10.0.1.12             10.0.1.11             TELNET   187    Telnet Data ...
     83 33.835477   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=202 Ack=413 Win=29312 Len=0 TSval=1149689 TSecr=6722325
     84 33.965001   10.0.1.12             10.0.1.11             TELNET   109    Telnet Data ...
     85 33.965022   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=202 Ack=456 Win=29312 Len=0 TSval=1149722 TSecr=6722357
     86 35.798486   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     87 35.799191   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     88 35.799217   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=203 Ack=458 Win=29312 Len=0 TSval=1150180 TSecr=6722816
     89 35.982289   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     90 35.983058   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     91 35.983078   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=204 Ack=460 Win=29312 Len=0 TSval=1150226 TSecr=6722862
     92 36.086351   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     93 36.087084   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     94 36.087106   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=205 Ack=462 Win=29312 Len=0 TSval=1150252 TSecr=6722888
     95 36.206218   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     96 36.206958   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
     97 36.206978   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=206 Ack=464 Win=29312 Len=0 TSval=1150282 TSecr=6722918
     98 36.382158   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
     99 36.382892   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    100 36.382910   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=207 Ack=466 Win=29312 Len=0 TSval=1150326 TSecr=6722962
    101 36.550142   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    102 36.550893   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    103 36.550911   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=208 Ack=468 Win=29312 Len=0 TSval=1150368 TSecr=6723004
    104 39.870367   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    105 39.871128   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    106 39.871153   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=209 Ack=473 Win=29312 Len=0 TSval=1151198 TSecr=6723834
    107 40.022281   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    108 40.023050   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    109 40.023072   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=210 Ack=478 Win=29312 Len=0 TSval=1151236 TSecr=6723872
    110 40.150305   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    111 40.151028   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    112 40.151053   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=211 Ack=483 Win=29312 Len=0 TSval=1151268 TSecr=6723904
    113 40.254316   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    114 40.255060   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    115 40.255084   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=212 Ack=488 Win=29312 Len=0 TSval=1151294 TSecr=6723930
    116 40.366262   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    117 40.366973   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    118 40.366995   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=213 Ack=493 Win=29312 Len=0 TSval=1151322 TSecr=6723958
    119 40.470251   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    120 40.470980   10.0.1.12             10.0.1.11             TELNET   71     Telnet Data ...
    121 40.471003   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=214 Ack=498 Win=29312 Len=0 TSval=1151348 TSecr=6723984
    122 40.590249   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    123 40.590931   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    124 40.590953   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=215 Ack=500 Win=29312 Len=0 TSval=1151378 TSecr=6724014
    125 40.774179   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    126 40.774910   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    127 40.774928   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=216 Ack=502 Win=29312 Len=0 TSval=1151424 TSecr=6724060
    128 40.814136   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    129 40.814869   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    130 40.814909   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=217 Ack=504 Win=29312 Len=0 TSval=1151434 TSecr=6724070
    131 41.582452   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    132 41.583172   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    133 41.583199   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=218 Ack=506 Win=29312 Len=0 TSval=1151626 TSecr=6724262
    134 41.694286   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    135 41.695007   10.0.1.12             10.0.1.11             TELNET   68     Telnet Data ...
    136 41.695027   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=219 Ack=508 Win=29312 Len=0 TSval=1151654 TSecr=6724290
    137 41.782356   10.0.1.11             10.0.1.12             TELNET   67     Telnet Data ...
    138 41.783045   10.0.1.12             10.0.1.11             TELNET   69     Telnet Data ...
    139 41.783068   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=220 Ack=511 Win=29312 Len=0 TSval=1151676 TSecr=6724312
    140 41.783564   10.0.1.12             10.0.1.11             TELNET   75     Telnet Data ...
    141 41.783582   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [ACK] Seq=220 Ack=520 Win=29312 Len=0 TSval=1151676 TSecr=6724312
    142 41.790254   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [FIN, ACK] Seq=520 Ack=220 Win=29056 Len=0 TSval=6724313 TSecr=1151676
    143 41.790328   10.0.1.11             10.0.1.12             TCP      66     48684 > telnet [FIN, ACK] Seq=220 Ack=521 Win=29312 Len=0 TSval=1151678 TSecr=6724313
    144 41.790806   10.0.1.12             10.0.1.11             TCP      66     telnet > 48684 [ACK] Seq=521 Ack=221 Win=29056 Len=0 TSval=6724314 TSecr=1151678
